3722,9,9,2,0,branch_to
3722,11,11,2,1429,branch_from
3722,11,11,2,0,branch_to
3723,9,9,2,0,blocked
3723,11,11,2,0,blocked
3723,16,16,2,1429,branch_from
3723,16,16,2,0,branch_to
3724,16,16,2,0,blocked
3740,1,1,5,2482,branch_from
3740,1,1,5,2166,branch_to
3740,3,3,5,2482,branch_from
3740,3,3,5,2166,branch_to
3751,1,1,5,2176,blocked
3751,3,3,5,2176,blocked
3752,14,14,8,701,branch_from
3752,14,14,8,0,branch_to
3761,0,0,0,0,unblocked
3812,19,19,5,2482,branch_from
3812,19,19,5,2166,branch_to
3823,9,9,2,0,unblocked
3823,11,11,2,0,unblocked
3823,19,19,5,2176,blocked
3824,16,16,2,0,unblocked
3841,1,1,5,2176,unblocked
3841,3,3,5,2176,unblocked
3844,12,12,4,1282,branch_from
3844,12,12,4,1066,branch_to
3844,13,13,4,1282,branch_from
3844,13,13,4,1066,branch_to
3913,19,19,5,2176,unblocked
3941,7,22,0,500,branch_from
3941,7,22,0,1402,branch_to
3941,18,23,0,500,branch_from
3941,18,23,0,1402,branch_to
3942,7,22,0,1402,blocked
3942,18,23,0,1402,blocked
3957,15,21,8,700,branch_from
3957,15,21,8,703,branch_to
3958,15,21,8,703,branch_from
3958,15,21,8,0,branch_to
3982,17,17,9,1501,branch_from
3982,17,17,9,0,branch_to
4042,7,22,0,1402,unblocked
4042,18,23,0,1402,unblocked
4061,12,12,4,1282,branch_from
4061,12,12,4,1066,branch_to
4061,13,13,4,1282,branch_from
4061,13,13,4,1066,branch_to
4073,7,22,0,1433,branch_from
4073,7,22,0,0,branch_to
4073,18,23,0,1433,branch_from
4073,18,23,0,0,branch_to
4147,1,1,5,2482,branch_from
4147,1,1,5,2166,branch_to
4147,3,3,5,2482,branch_from
4147,3,3,5,2166,branch_to
4158,1,1,5,2176,blocked
4158,3,3,5,2176,blocked
4219,19,19,5,2482,branch_from
4219,19,19,5,2166,branch_to
4230,19,19,5,2176,blocked
4248,1,1,5,2176,unblocked
4248,3,3,5,2176,unblocked
4256,6,6,0,1301,branch_from
4256,6,6,0,1433,branch_to
4257,6,6,0,1433,blocked
4261,0,0,0,500,branch_from
4261,0,0,0,1402,branch_to
4262,0,0,0,1402,blocked
4278,12,12,4,1282,branch_from
4278,12,12,4,1066,branch_to
4278,13,13,4,1282,branch_from
4278,13,13,4,1066,branch_to
4320,19,19,5,2176,unblocked
4335,6,6,0,1433,unblocked
4335,6,6,0,1433,branch_from
4335,6,6,0,0,branch_to
4362,0,0,0,1402,unblocked
4393,0,0,0,1433,branch_from
4393,0,0,0,0,branch_to
4454,14,14,8,701,branch_from
4454,14,14,8,0,branch_to
4495,12,12,4,1282,branch_from
4495,12,12,4,1066,branch_to
4495,13,13,4,1282,branch_from
4495,13,13,4,1066,branch_to
4554,1,1,5,2482,branch_from
4554,1,1,5,2166,branch_to
4554,3,3,5,2482,branch_from
4554,3,3,5,2166,branch_to
4555,1,1,5,2166,blocked
4555,3,3,5,2166,blocked
4574,18,23,0,500,branch_from
4574,18,23,0,1402,branch_to
4575,18,23,0,1402,blocked
4626,19,19,5,2482,branch_from
4626,19,19,5,2166,branch_to
4627,19,19,5,2166,blocked
4655,1,1,5,2166,unblocked
4655,3,3,5,2166,unblocked
4659,15,21,8,700,branch_from
4659,15,21,8,703,branch_to
4660,15,21,8,703,branch_from
4660,15,21,8,0,branch_to
4675,18,23,0,1402,unblocked
4706,18,23,0,1433,branch_from
4706,18,23,0,0,branch_to
4707,18,23,0,0,blocked
4712,10,20,2,1429,branch_from
4712,10,20,2,0,branch_to
4712,12,12,4,1282,branch_from
4712,12,12,4,1066,branch_to
4712,13,13,4,1282,branch_from
4712,13,13,4,1066,branch_to
4727,19,19,5,2166,unblocked
4807,18,23,0,0,unblocked
4836,6,6,0,500,branch_from
4836,6,6,0,1402,branch_to
4837,6,6,0,1402,blocked
4894,0,0,0,500,branch_from
4894,0,0,0,1402,branch_to
4895,0,0,0,1402,blocked
4929,12,12,4,1282,branch_from
4929,12,12,4,1066,branch_to
4929,13,13,4,1282,branch_from
4929,13,13,4,1066,branch_to
4937,6,6,0,1402,unblocked
4968,6,6,0,1433,branch_from
4968,6,6,0,0,branch_to
4969,6,6,0,0,blocked
4971,1,1,5,2482,branch_from
4971,1,1,5,2166,branch_to
4971,3,3,5,2482,branch_from
4971,3,3,5,2166,branch_to
4995,0,0,0,1402,unblocked
5026,0,0,0,1433,branch_from
5026,0,0,0,0,branch_to
5043,19,19,5,2482,branch_from
5043,19,19,5,2166,branch_to
5069,6,6,0,0,unblocked
5110,1,1,5,2304,blocked
5110,3,3,5,2304,blocked
5121,1,1,5,2304,unblocked
5121,3,3,5,2304,unblocked
5146,12,12,4,1282,branch_from
5146,12,12,4,1066,branch_to
5146,13,13,4,1282,branch_from
5146,13,13,4,1066,branch_to
5155,14,14,8,700,branch_from
5155,14,14,8,703,branch_to
5156,14,14,8,703,branch_from
5156,14,14,8,0,branch_to
5182,19,19,5,2304,blocked
5193,19,19,5,2304,unblocked
5200,2,2,3,2129,branch_from
5200,2,2,3,0,branch_to
5200,4,4,3,2129,branch_from
